Date,Open
8/30/2018,7051.609863
8/31/2018,6998.759766
9/1/2018,7026.959961
9/2/2018,7203.459961
9/3/2018,7301.25
9/4/2018,7270.049805
9/5/2018,7369.890137
9/6/2018,6705.060059
9/7/2018,6515.419922
9/8/2018,6413.120117
9/9/2018,6200.22998
9/10/2018,6249.069824
9/11/2018,6324.430176
9/12/2018,6295.540039
9/13/2018,6337.080078
9/14/2018,6492.169922
9/15/2018,6485.390137
9/16/2018,6522.680176
9/17/2018,6502.439941
9/18/2018,6261.330078
9/19/2018,6346.439941
9/20/2018,6398.830078
9/21/2018,6505.970215
9/22/2018,6762.069824
9/23/2018,6716.600098
9/24/2018,6702.72998
9/25/2018,6583.529785
9/26/2018,6437.740234
9/27/2018,6462.600098
9/28/2018,6686.129883
9/29/2018,6635.399902
9/30/2018,6603.75
10/1/2018,6623.819824
10/2/2018,6594.97998
10/3/2018,6525.459961
10/4/2018,6492.609863
10/5/2018,6580
10/6/2018,6632.879883
10/7/2018,6589.939941
10/8/2018,6601.459961
10/9/2018,6650.069824
10/10/2018,6631.790039
10/11/2018,6581.069824
10/12/2018,6209.470215
10/13/2018,6252.100098
10/14/2018,6267.27002
10/15/2018,6277.72998
10/16/2018,6612.689941
10/17/2018,6583.049805
10/18/2018,6576.399902
10/19/2018,6489.370117
10/20/2018,6469.279785
10/21/2018,6490.600098
10/22/2018,6509.870117
10/23/2018,6484.319824
10/24/2018,6470.629883
10/25/2018,6476.52002
10/26/2018,6462.77002
10/27/2018,6457.209961
10/28/2018,6470.169922
10/29/2018,6470.740234
10/30/2018,6314.379883
10/31/2018,6309.109863
11/1/2018,6342.810059
11/2/2018,6381.299805
11/3/2018,6394.649902
11/4/2018,6376.549805
11/5/2018,6467.049805
11/6/2018,6433.529785
11/7/2018,6479.720215
11/8/2018,6530.939941
11/9/2018,6446.060059
11/10/2018,6377.990234
11/11/2018,6396.390137
11/12/2018,6408.180176
11/13/2018,6375.080078
11/14/2018,6339.169922
11/15/2018,5740.509766
11/16/2018,5647.5
11/17/2018,5586.970215
11/18/2018,5567.950195
11/19/2018,5615.259766
11/20/2018,4809.620117
11/21/2018,4441.810059
11/22/2018,4593.040039
11/23/2018,4320.680176
11/24/2018,4343.419922
11/25/2018,3854.110107
11/26/2018,4004.459961
11/27/2018,3784.77002
11/28/2018,3822.98999
11/29/2018,4263.52002
11/30/2018,4286.850098
12/1/2018,4009.669922
12/2/2018,4197.700195
12/3/2018,4143.859863
12/4/2018,3871.409912
12/5/2018,3948.439941
12/6/2018,3737.530029
12/7/2018,3485.179932
12/8/2018,3420.570068
12/9/2018,3461.070068
12/10/2018,3592.840088
12/11/2018,3467.159912
12/12/2018,3401.02002
12/13/2018,3485.590088
12/14/2018,3305.110107
12/15/2018,3235.47998
12/16/2018,3232.51001
12/17/2018,3255.370117
12/18/2018,3548.189941
12/19/2018,3715.850098
12/20/2018,3736.540039
12/21/2018,4137.660156
12/22/2018,3898.810059
12/23/2018,4045.23999
12/24/2018,4007.629883
12/25/2018,4081.949951
12/26/2018,3834.72998
12/27/2018,3848.780029
12/28/2018,3646.090088
12/29/2018,3947.860107
12/30/2018,3797.060059
12/31/2018,3896.209961
1/1/2019,3747.389893
1/2/2019,3880.149902
1/3/2019,3961.01001
1/4/2019,3835.860107
1/5/2019,3874.060059
1/6/2019,3855.389893
1/7/2019,4102.850098
1/8/2019,4050.399902
1/9/2019,4040.75
1/10/2019,4048.340088
1/11/2019,3668.149902
1/12/2019,3669.199951
1/13/2019,3664.379883
1/14/2019,3551.23999
1/15/2019,3703.899902
1/16/2019,3621.23999
1/17/2019,3643.98999
1/18/2019,3685.300049
1/19/2019,3648.050049
